datumVanVertrek,vertrekLuchthaven,aankomstLuchthaven,vertrekTijd,aankomstTijd,prijs,duur,vrijeZitplaatsen,vluchtNummer,aantalStops,vertrekLuchthavenCode,aankomstLuchthavenCode
2023-04-01,Antwerpen,Alicante,06:30,09:10,294.99,2u 40m,1,1101,0,ANR,ALC
2023-04-01,Brugge-Oostende,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-01,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-01,Brussel,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-02,Brussel,Alicante,06:10,08:55,299.99,2u 45m,4,1111,0,BRU,ALC
2023-04-02,Antwerpen,Alicante,08:30,11:15,299.99,2u 45m,1,1101,0,ANR,ALC
2023-04-02,Antwerpen,Alicante,14:05,16:45,299.99,2u 40m,3,1103,0,ANR,ALC
2023-04-02,Antwerpen,Alicante,15:20,18:00,294.99,2u 40m,3,1105,0,ANR,ALC
2023-04-02,Brussel,Alicante,16:45,19:30,299.99,2u 45m,6,1113,0,BRU,ALC
2023-04-02,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-02,Brugge-Oostende,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-03,Luik,Alicante,06:00,08:45,249.99,2u 45m,4,1161,0,LGG,ALC
2023-04-03,Brussel,Alicante,06:05,08:50,279.99,2u 45m,2,1111,0,BRU,ALC
2023-04-03,Brugge-Oostende,Alicante,14:30,17:20,199.99,2u 50m,7,1171,0,OST,ALC
2023-04-03,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-04,Brugge-Oostende,Alicante,06:00,08:50,179.99,2u 50m,10,1171,0,OST,ALC
2023-04-04,Brussel,Alicante,06:15,09:00,254.99,2u 45m,6,1135,0,BRU,ALC
2023-04-04,Antwerpen,Alicante,07:30,10:10,229.99,2u 40m,10,1101,0,ANR,ALC
2023-04-04,Antwerpen,Alicante,08:35,11:15,199.99,2u 40m,10,1103,0,ANR,ALC
2023-04-04,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-05,Brugge-Oostende,Alicante,06:00,08:50,154.99,2u 50m,10,1171,0,OST,ALC
2023-04-05,Brussel,Alicante,06:05,08:50,129.99,2u 45m,10,1111,0,BRU,ALC
2023-04-05,Brussel,Alicante,06:10,08:55,129.99,2u 45m,10,1113,0,BRU,ALC
2023-04-05,Antwerpen,Alicante,06:30,09:10,154.99,2u 40m,10,1101,0,ANR,ALC
2023-04-05,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-06,Brussel,Alicante,06:05,08:50,129.99,2u 45m,10,1111,0,BRU,ALC
2023-04-06,Brugge-Oostende,Alicante,07:00,09:50,109.99,2u 50m,10,1171,0,OST,ALC
2023-04-06,Antwerpen,Alicante,15:30,18:10,179.99,2u 40m,10,1103,0,ANR,ALC
2023-04-06,Brussel,Alicante,16:25,19:10,129.99,2u 45m,10,1113,0,BRU,ALC
2023-04-06,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-07,Luik,Alicante,06:00,08:45,189.99,2u 45m,10,1161,0,LGG,ALC
2023-04-07,Brussel,Alicante,06:20,10:40,249.99,4u 20m,6,1419,1,BRU,ALC
2023-04-07,Antwerpen,Alicante,06:30,09:10,179.99,2u 40m,10,1101,0,ANR,ALC
2023-04-07,Brugge-Oostende,Alicante,07:00,09:50,199.99,2u 50m,9,1183,0,OST,ALC
2023-04-07,Brussel,Alicante,13:15,16:00,214.99,2u 45m,10,1113,0,BRU,ALC
2023-04-08,Brugge-Oostende,Alicante,06:00,08:50,199.99,2u 50m,9,1171,0,OST,ALC
2023-04-08,Brussel,Alicante,06:00,08:45,309.99,2u 45m,1,1135,0,BRU,ALC
2023-04-08,Antwerpen,Alicante,06:30,09:10,199.99,2u 40m,3,1101,0,ANR,ALC
2023-04-08,Brussel,Alicante,17:00,19:45,164.99,2u 45m,10,1113,0,BRU,ALC
2023-04-08,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-09,Brugge-Oostende,Alicante,06:00,08:50,199.99,2u 50m,10,1183,0,OST,ALC
2023-04-09,Brussel,Alicante,06:10,08:55,129.99,2u 45m,10,1111,0,BRU,ALC
2023-04-09,Antwerpen,Alicante,08:30,11:15,149.99,2u 45m,10,1101,0,ANR,ALC
2023-04-09,Antwerpen,Alicante,14:05,16:45,129.99,2u 40m,10,1103,0,ANR,ALC
2023-04-09,Antwerpen,Alicante,15:20,18:00,119.99,2u 40m,10,1105,0,ANR,ALC
2023-04-09,Brussel,Alicante,16:30,19:15,129.99,2u 45m,10,1113,0,BRU,ALC
2023-04-09,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-10,Luik,Alicante,06:00,08:45,149.99,2u 45m,10,1161,0,LGG,ALC
2023-04-10,Brussel,Alicante,06:05,08:50,129.99,2u 45m,10,1111,0,BRU,ALC
2023-04-10,Antwerpen,Alicante,08:00,10:40,149.99,2u 40m,10,1101,0,ANR,ALC
2023-04-10,Brugge-Oostende,Alicante,14:30,17:20,139.99,2u 50m,10,1171,0,OST,ALC
2023-04-11,Brugge-Oostende,Alicante,06:00,08:50,104.99,2u 50m,10,1171,0,OST,ALC
2023-04-11,Brussel,Alicante,06:15,09:00,149.99,2u 45m,10,1135,0,BRU,ALC
2023-04-11,Antwerpen,Alicante,07:30,10:10,109.99,2u 40m,10,1101,0,ANR,ALC
2023-04-11,Antwerpen,Alicante,08:35,11:15,119.99,2u 40m,10,1103,0,ANR,ALC
2023-04-11,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-12,Brugge-Oostende,Alicante,06:00,08:50,71.99,2u 50m,7,1171,0,OST,ALC
2023-04-12,Brussel,Alicante,06:05,08:50,59.99,2u 45m,10,1111,0,BRU,ALC
2023-04-12,Brussel,Alicante,06:10,08:55,75.99,2u 45m,10,1113,0,BRU,ALC
2023-04-12,Antwerpen,Alicante,06:30,09:10,71.99,2u 40m,10,1101,0,ANR,ALC
2023-04-12,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-13,Brussel,Alicante,06:05,08:50,59.99,2u 45m,10,1111,0,BRU,ALC
2023-04-13,Brugge-Oostende,Alicante,07:00,09:50,91.99,2u 50m,10,1171,0,OST,ALC
2023-04-13,Antwerpen,Alicante,15:30,18:10,129.99,2u 40m,10,1103,0,ANR,ALC
2023-04-13,Brussel,Alicante,16:25,19:10,79.99,2u 45m,10,1113,0,BRU,ALC
2023-04-13,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-14,Luik,Alicante,06:00,08:45,109.99,2u 45m,10,1161,0,LGG,ALC
2023-04-14,Brussel,Alicante,06:20,10:40,59.99,4u 20m,10,1419,1,BRU,ALC
2023-04-14,Brussel,Alicante,06:25,09:10,77.99,2u 45m,10,1113,0,BRU,ALC
2023-04-14,Antwerpen,Alicante,06:30,09:10,104.99,2u 40m,10,1101,0,ANR,ALC
2023-04-14,Brugge-Oostende,Alicante,07:00,09:50,129.99,2u 50m,10,1183,0,OST,ALC
2023-04-15,Brugge-Oostende,Alicante,06:00,08:50,129.99,2u 50m,10,1187,0,OST,ALC
2023-04-15,Brussel,Alicante,06:00,08:45,91.99,2u 45m,10,1135,0,BRU,ALC
2023-04-15,Brussel,Alicante,17:00,19:45,79.99,2u 45m,10,1113,0,BRU,ALC
2023-04-15,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-15,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-16,Brugge-Oostende,Alicante,06:00,08:50,154.99,2u 50m,10,1183,0,OST,ALC
2023-04-16,Brussel,Alicante,06:10,08:55,79.99,2u 45m,10,1111,0,BRU,ALC
2023-04-16,Antwerpen,Alicante,15:55,18:35,264.99,2u 40m,5,1103,0,ANR,ALC
2023-04-16,Brussel,Alicante,16:30,19:15,104.99,2u 45m,10,1113,0,BRU,ALC
2023-04-16,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-17,Luik,Alicante,06:00,08:45,109.99,2u 45m,8,1161,0,LGG,ALC
2023-04-17,Brussel,Alicante,06:05,08:50,97.99,2u 45m,10,1111,0,BRU,ALC
2023-04-17,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-17,Brugge-Oostende,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-18,Brugge-Oostende,Alicante,06:00,08:50,109.99,2u 50m,10,1171,0,OST,ALC
2023-04-18,Brussel,Alicante,06:15,09:00,134.99,2u 45m,10,1135,0,BRU,ALC
2023-04-18,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-18,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-19,Brugge-Oostende,Alicante,06:00,08:50,104.99,2u 50m,10,1171,0,OST,ALC
2023-04-19,Brussel,Alicante,06:05,08:50,109.99,2u 45m,10,1111,0,BRU,ALC
2023-04-19,Brussel,Alicante,06:30,09:15,134.99,2u 45m,10,1113,0,BRU,ALC
2023-04-19,Antwerpen,Alicante,06:30,09:10,219.99,2u 40m,10,1101,0,ANR,ALC
2023-04-19,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-20,Brussel,Alicante,06:05,08:50,124.99,2u 45m,10,1111,0,BRU,ALC
2023-04-20,Brugge-Oostende,Alicante,07:00,09:50,109.99,2u 50m,10,1171,0,OST,ALC
2023-04-20,Antwerpen,Alicante,15:30,18:10,209.99,2u 40m,9,1103,0,ANR,ALC
2023-04-20,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-21,Luik,Alicante,06:00,08:45,149.99,2u 45m,10,1161,0,LGG,ALC
2023-04-21,Brussel,Alicante,06:15,10:40,299.99,4u 25m,4,1419,1,BRU,ALC
2023-04-21,Antwerpen,Alicante,06:35,10:55,154.99,4u 20m,10,1333,1,ANR,ALC
2023-04-21,Brugge-Oostende,Alicante,07:00,09:50,159.99,2u 50m,10,1171,0,OST,ALC
2023-04-22,Brugge-Oostende,Alicante,06:00,08:50,154.99,2u 50m,10,1187,0,OST,ALC
2023-04-22,Brussel,Alicante,06:05,08:45,299.99,2u 40m,7,1135,0,BRU,ALC
2023-04-22,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-22,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-23,Brugge-Oostende,Alicante,06:00,08:50,209.99,2u 50m,10,1183,0,OST,ALC
2023-04-23,Brussel,Alicante,06:10,10:10,139.99,4u 0m,10,1233,1,BRU,ALC
2023-04-23,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-23,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-24,Luik,Alicante,06:00,08:45,149.99,2u 45m,10,1161,0,LGG,ALC
2023-04-24,Brussel,Alicante,06:05,08:50,149.99,2u 45m,10,1111,0,BRU,ALC
2023-04-24,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-24,Brugge-Oostende,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-25,Brugge-Oostende,Alicante,06:00,08:50,144.99,2u 50m,10,1171,0,OST,ALC
2023-04-25,Brussel,Alicante,06:15,09:00,249.99,2u 45m,1,1135,0,BRU,ALC
2023-04-25,Antwerpen,Alicante,07:30,10:10,249.99,2u 40m,2,1101,0,ANR,ALC
2023-04-25,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-26,Brugge-Oostende,Alicante,06:00,08:50,154.99,2u 50m,10,1171,0,OST,ALC
2023-04-26,Brussel,Alicante,06:05,08:50,134.99,2u 45m,10,1111,0,BRU,ALC
2023-04-26,Brussel,Alicante,06:30,09:15,134.99,2u 45m,10,1113,0,BRU,ALC
2023-04-26,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-26,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-27,Brussel,Alicante,06:05,11:10,169.99,5u 5m,10,1021,1,BRU,ALC
2023-04-27,Brugge-Oostende,Alicante,07:00,09:50,159.99,2u 50m,10,1171,0,OST,ALC
2023-04-27,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-27,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-28,Luik,Alicante,06:00,08:45,179.99,2u 45m,10,1161,0,LGG,ALC
2023-04-28,Brussel,Alicante,06:05,08:50,209.99,2u 45m,10,1111,0,BRU,ALC
2023-04-28,Brugge-Oostende,Alicante,07:00,09:50,194.99,2u 50m,10,1171,0,OST,ALC
2023-04-28,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-29,Brugge-Oostende,Alicante,06:00,08:50,264.99,2u 50m,10,1187,0,OST,ALC
2023-04-29,Brussel,Alicante,16:50,19:35,234.99,2u 45m,10,1115,0,BRU,ALC
2023-04-29,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-29,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-04-30,Brugge-Oostende,Alicante,06:00,08:50,189.99,2u 50m,10,1171,0,OST,ALC
2023-04-30,Brussel,Alicante,06:10,08:55,214.99,2u 45m,10,1111,0,BRU,ALC
2023-04-30,Antwerpen,Alicante,15:55,18:35,309.99,2u 40m,3,1103,0,ANR,ALC
2023-04-30,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-01,Luik,Alicante,06:00,08:45,239.99,2u 45m,10,1161,0,LGG,ALC
2023-05-01,Brussel,Alicante,06:05,08:50,189.99,2u 45m,10,1111,0,BRU,ALC
2023-05-01,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-01,Brugge-Oostende,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-02,Brugge-Oostende,Alicante,06:00,08:50,194.99,2u 50m,10,1171,0,OST,ALC
2023-05-02,Brussel,Alicante,06:15,09:00,154.99,2u 45m,10,1111,0,BRU,ALC
2023-05-02,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-02,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-03,Brugge-Oostende,Alicante,06:00,08:50,149.99,2u 50m,10,1171,0,OST,ALC
2023-05-03,Brussel,Alicante,06:05,08:50,164.99,2u 45m,10,1111,0,BRU,ALC
2023-05-03,Brussel,Alicante,06:30,09:15,139.99,2u 45m,10,1113,0,BRU,ALC
2023-05-03,Antwerpen,Alicante,06:30,09:10,219.99,2u 40m,10,1101,0,ANR,ALC
2023-05-03,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-04,Brussel,Alicante,06:05,08:50,134.99,2u 45m,10,1111,0,BRU,ALC
2023-05-04,Brugge-Oostende,Alicante,07:00,09:50,134.99,2u 50m,10,1171,0,OST,ALC
2023-05-04,Antwerpen,Alicante,15:30,18:10,214.99,2u 40m,10,1103,0,ANR,ALC
2023-05-04,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-05,Luik,Alicante,06:00,08:45,189.99,2u 45m,10,1161,0,LGG,ALC
2023-05-05,Brussel,Alicante,06:05,08:50,149.99,2u 45m,10,1111,0,BRU,ALC
2023-05-05,Brugge-Oostende,Alicante,07:00,09:50,154.99,2u 50m,10,1171,0,OST,ALC
2023-05-05,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-06,Brussel,Alicante,06:00,08:45,174.99,2u 45m,10,1111,0,BRU,ALC
2023-05-06,Brugge-Oostende,Alicante,06:00,08:50,264.99,2u 50m,10,1187,0,OST,ALC
2023-05-06,Brussel,Alicante,16:50,19:35,164.99,2u 45m,10,1115,0,BRU,ALC
2023-05-06,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-06,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-07,Brugge-Oostende,Alicante,06:00,08:50,164.99,2u 50m,10,1171,0,OST,ALC
2023-05-07,Brussel,Alicante,06:10,08:55,164.99,2u 45m,10,1111,0,BRU,ALC
2023-05-07,Antwerpen,Alicante,15:55,18:35,219.99,2u 40m,10,1103,0,ANR,ALC
2023-05-07,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-08,Luik,Alicante,06:00,08:45,159.99,2u 45m,10,1161,0,LGG,ALC
2023-05-08,Brussel,Alicante,06:05,08:50,134.99,2u 45m,10,1111,0,BRU,ALC
2023-05-08,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-08,Brugge-Oostende,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-09,Brugge-Oostende,Alicante,06:00,08:50,169.99,2u 50m,10,1171,0,OST,ALC
2023-05-09,Brussel,Alicante,06:15,09:00,139.99,2u 45m,10,1111,0,BRU,ALC
2023-05-09,Antwerpen,Alicante,07:30,10:10,289.99,2u 40m,1,1101,0,ANR,ALC
2023-05-09,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-10,Brugge-Oostende,Alicante,06:00,08:50,154.99,2u 50m,10,1171,0,OST,ALC
2023-05-10,Brussel,Alicante,06:05,08:50,139.99,2u 45m,10,1111,0,BRU,ALC
2023-05-10,Brussel,Alicante,06:30,09:15,139.99,2u 45m,10,1113,0,BRU,ALC
2023-05-10,Antwerpen,Alicante,06:30,09:10,209.99,2u 40m,10,1101,0,ANR,ALC
2023-05-10,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-11,Brussel,Alicante,06:05,08:50,144.99,2u 45m,10,1111,0,BRU,ALC
2023-05-11,Brugge-Oostende,Alicante,07:00,09:50,124.99,2u 50m,10,1171,0,OST,ALC
2023-05-11,Antwerpen,Alicante,15:30,18:10,209.99,2u 40m,10,1103,0,ANR,ALC
2023-05-11,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-12,Luik,Alicante,06:00,08:45,164.99,2u 45m,10,1161,0,LGG,ALC
2023-05-12,Brussel,Alicante,06:05,08:50,189.99,2u 45m,10,1111,0,BRU,ALC
2023-05-12,Brugge-Oostende,Alicante,07:00,09:50,169.99,2u 50m,10,1171,0,OST,ALC
2023-05-12,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-13,Brugge-Oostende,Alicante,06:00,08:50,319.99,2u 50m,1,1187,0,OST,ALC
2023-05-13,Brussel,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-13,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-13,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-14,Brugge-Oostende,Alicante,06:00,08:50,204.99,2u 50m,10,1171,0,OST,ALC
2023-05-14,Brussel,Alicante,06:10,08:55,189.99,2u 45m,10,1111,0,BRU,ALC
2023-05-14,Antwerpen,Alicante,15:55,18:35,239.99,2u 40m,10,1103,0,ANR,ALC
2023-05-14,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-15,Luik,Alicante,06:00,08:45,229.99,2u 45m,10,1161,0,LGG,ALC
2023-05-15,Brussel,Alicante,06:05,08:50,184.99,2u 45m,10,1111,0,BRU,ALC
2023-05-15,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-15,Brugge-Oostende,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-16,Brugge-Oostende,Alicante,06:00,08:50,219.99,2u 50m,10,1171,0,OST,ALC
2023-05-16,Brussel,Alicante,06:15,09:00,194.99,2u 45m,10,1111,0,BRU,ALC
2023-05-16,Antwerpen,Alicante,07:30,10:10,339.99,2u 40m,1,1101,0,ANR,ALC
2023-05-16,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-17,Brugge-Oostende,Alicante,06:00,08:50,239.99,2u 50m,10,1171,0,OST,ALC
2023-05-17,Brussel,Alicante,06:05,08:50,224.99,2u 45m,10,1111,0,BRU,ALC
2023-05-17,Antwerpen,Alicante,06:30,09:10,274.99,2u 40m,10,1101,0,ANR,ALC
2023-05-17,Brussel,Alicante,06:30,09:15,174.99,2u 45m,9,1113,0,BRU,ALC
2023-05-17,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-18,Brussel,Alicante,06:05,08:50,259.99,2u 45m,10,1111,0,BRU,ALC
2023-05-18,Brugge-Oostende,Alicante,07:00,09:50,269.99,2u 50m,10,1171,0,OST,ALC
2023-05-18,Antwerpen,Alicante,15:30,18:10,254.99,2u 40m,10,1103,0,ANR,ALC
2023-05-18,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-19,Luik,Alicante,06:00,08:45,184.99,2u 45m,10,1161,0,LGG,ALC
2023-05-19,Brussel,Alicante,06:05,08:50,184.99,2u 45m,10,1111,0,BRU,ALC
2023-05-19,Brugge-Oostende,Alicante,07:00,09:50,179.99,2u 50m,10,1171,0,OST,ALC
2023-05-19,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-20,Brugge-Oostende,Alicante,06:00,08:50,194.99,2u 50m,10,1187,0,OST,ALC
2023-05-20,Brussel,Alicante,06:00,08:45,184.99,2u 45m,10,1111,0,BRU,ALC
2023-05-20,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-20,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-21,Brugge-Oostende,Alicante,06:00,08:50,159.99,2u 50m,10,1171,0,OST,ALC
2023-05-21,Brussel,Alicante,06:05,08:50,144.99,2u 45m,10,1137,0,BRU,ALC
2023-05-21,Brussel,Alicante,06:10,08:55,164.99,2u 45m,10,1111,0,BRU,ALC
2023-05-21,Antwerpen,Alicante,15:55,18:35,319.99,2u 40m,4,1103,0,ANR,ALC
2023-05-21,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-22,Luik,Alicante,06:00,08:45,139.99,2u 45m,10,1161,0,LGG,ALC
2023-05-22,Brussel,Alicante,06:05,08:50,139.99,2u 45m,10,1111,0,BRU,ALC
2023-05-22,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-22,Brugge-Oostende,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-23,Brugge-Oostende,Alicante,06:00,08:50,169.99,2u 50m,10,1171,0,OST,ALC
2023-05-23,Brussel,Alicante,06:15,09:00,114.99,2u 45m,10,1111,0,BRU,ALC
2023-05-23,Antwerpen,Alicante,07:30,10:10,239.99,2u 40m,7,1101,0,ANR,ALC
2023-05-23,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-24,Brugge-Oostende,Alicante,06:00,08:50,154.99,2u 50m,10,1171,0,OST,ALC
2023-05-24,Brussel,Alicante,06:05,08:50,119.99,2u 45m,10,1111,0,BRU,ALC
2023-05-24,Antwerpen,Alicante,06:30,09:10,174.99,2u 40m,10,1101,0,ANR,ALC
2023-05-24,Brussel,Alicante,06:30,09:15,114.99,2u 45m,10,1113,0,BRU,ALC
2023-05-24,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-25,Brussel,Alicante,06:05,08:50,119.99,2u 45m,10,1111,0,BRU,ALC
2023-05-25,Brugge-Oostende,Alicante,07:00,09:50,144.99,2u 50m,10,1171,0,OST,ALC
2023-05-25,Antwerpen,Alicante,15:30,18:10,184.99,2u 40m,10,1103,0,ANR,ALC
2023-05-25,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-26,Luik,Alicante,06:00,08:45,179.99,2u 45m,10,1161,0,LGG,ALC
2023-05-26,Brussel,Alicante,06:05,08:50,189.99,2u 45m,10,1111,0,BRU,ALC
2023-05-26,Brugge-Oostende,Alicante,07:00,09:50,154.99,2u 50m,10,1171,0,OST,ALC
2023-05-26,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-27,Brugge-Oostende,Alicante,06:00,08:50,219.99,2u 50m,10,1187,0,OST,ALC
2023-05-27,Brussel,Alicante,06:00,08:45,189.99,2u 45m,10,1111,0,BRU,ALC
2023-05-27,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-27,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-28,Brugge-Oostende,Alicante,06:00,08:50,149.99,2u 50m,10,1171,0,OST,ALC
2023-05-28,Brussel,Alicante,06:10,08:55,154.99,2u 45m,10,1111,0,BRU,ALC
2023-05-28,Antwerpen,Alicante,15:55,18:35,209.99,2u 40m,10,1103,0,ANR,ALC
2023-05-28,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-29,Luik,Alicante,06:00,08:45,154.99,2u 45m,10,1161,0,LGG,ALC
2023-05-29,Brussel,Alicante,06:05,08:50,154.99,2u 45m,10,1111,0,BRU,ALC
2023-05-29,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-29,Brugge-Oostende,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-30,Brugge-Oostende,Alicante,06:00,08:50,169.99,2u 50m,10,1171,0,OST,ALC
2023-05-30,Brussel,Alicante,06:15,09:00,114.99,2u 45m,10,1111,0,BRU,ALC
2023-05-30,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-30,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-05-31,Brugge-Oostende,Alicante,06:00,08:50,129.99,2u 50m,10,1171,0,OST,ALC
2023-05-31,Brussel,Alicante,06:05,08:50,114.99,2u 45m,10,1111,0,BRU,ALC
2023-05-31,Brussel,Alicante,06:30,09:15,109.99,2u 45m,10,1113,0,BRU,ALC
2023-05-31,Antwerpen,Alicante,06:30,09:10,174.99,2u 40m,10,1101,0,ANR,ALC
2023-05-31,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-06-01,Brussel,Alicante,06:05,08:50,144.99,2u 45m,10,1111,0,BRU,ALC
2023-06-01,Brugge-Oostende,Alicante,07:00,09:50,169.99,2u 50m,10,1171,0,OST,ALC
2023-06-01,Antwerpen,Alicante,15:30,18:10,169.99,2u 40m,10,1103,0,ANR,ALC
2023-06-01,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-06-02,Luik,Alicante,06:00,08:45,159.99,2u 45m,10,1161,0,LGG,ALC
2023-06-02,Brussel,Alicante,06:05,08:50,159.99,2u 45m,10,1111,0,BRU,ALC
2023-06-02,Brugge-Oostende,Alicante,07:00,09:50,169.99,2u 50m,10,1171,0,OST,ALC
2023-06-02,Antwerpen,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
2023-06-03,Brussel,Alicante,06:00,08:45,179.99,2u 45m,10,1111,0,BRU,ALC
2023-06-03,Brugge-Oostende,Alicante,06:00,08:50,169.99,2u 50m,10,1187,0,OST,ALC
2023-06-03,Luik,Alicante,geen,geen,geen,geen,geen,geen,geen,geen,geen
